id,player,team,era,positions,pts,reb,ast,stl,blk,stl_historically_unavailable,blk_historically_unavailable,raw_composite,source_contribution,source_value,flex_score,tier,tier_label,overall_rank,spin_rank,perfect_share,playable
jim_brogan_lac_1980s,Jim Brogan,LAC,1980s,SG,5.1,1.52,1.83,0.61,0.2,false,false,4.789768,4.79,4.79,0.0,F,avoid unless forced,7359,53,,true
shavlik_randolph_bos_2010s,Shavlik Randolph,BOS,2010s,PF,3.53,3.92,0.28,0.43,0.35,false,false,4.788497,4.789,4.789,0.0,F,avoid unless forced,7360,50,,true
brian_rowsom_cha_1990s,Brian Rowsom,CHA,1990s,PF,5.1,3.0,0.5,0.4,0.3,false,false,4.78873,4.789,4.789,0.0,F,avoid unless forced,7361,43,,true
alonzo_gee_was_2010s,Alonzo Gee,WAS,2010s,SF/SG,5.15,2.5,0.55,0.6,0.05,false,false,4.438835,4.439,4.789,0.35,F,avoid unless forced,7362,62,,true
kosta_koufos_uta_2000s,Kosta Koufos,UTA,2000s,C,4.7,2.9,0.4,0.3,0.6,false,false,4.78666,4.787,4.787,0.0,F,avoid unless forced,7363,36,,true
walt_wesley_was_1970s,Walt Wesley,WAS,1970s,C,4.3,3.5,0.4,0.2,0.5,false,false,4.78681,4.787,4.787,0.0,F,avoid unless forced,7364,32,,true
jaylen_nowell_sac_2020s,Jaylen Nowell,SAC,2020s,SG,6.2,1.8,1.5,0.3,0.2,false,false,4.78692,4.787,4.787,0.0,F,avoid unless forced,7365,41,,true
pete_chilcutt_hou_1990s,Pete Chilcutt,HOU,1990s,PF,3.95,3.35,0.69,0.35,0.39,false,false,4.784447,4.785,4.785,0.0,F,avoid unless forced,7366,33,,true
julian_wright_tor_2010s,Julian Wright,TOR,2010s,SF,3.6,2.3,1.1,0.8,0.4,false,false,4.78332,4.784,4.784,0.0,F,avoid unless forced,7367,49,,true
casey_jacobsen_phx_2000s,Casey Jacobsen,PHX,2000s,SF/SG,5.51,1.88,1.1,0.5,0.08,false,false,4.433164,4.433,4.783,0.35,F,avoid unless forced,7368,44,,true
